,BBL,KBANK,SCB,TMB,CIMBT,PTT,PTTEP,TOP,THAI,SSP,ADVANC,AOT,INTUCH,TRUE,HANA,CPF,MCP,TU,SAWAD,THCOM,STA,SANKO,TKC,TKN,TPIPL,AP,LH,PF,QH,RATCH,FSS,MFC,TISCO,THAI,THREL,BEM,BGRIM,BTS,CGD,EA,BDMS,CHG,GMCO,HQ,KCE,ITD,SLP,SYNTEC,VNG,X1X
2019-01-15,4482697,15621596,1815484,18715619,1209749,11616566,5355938,14763662,4820154,10694646,18932808,14443253,19257691,15243936,4442438,11794840,19218304,8820038,17461381,3145424,15443150,15274444,13200837,11522828,10032657,6996849,1946968,3100851,1125598,12140788,17363487,1790732,1188668,4820154,10609063,10760530,6676202,14309911,12328336,10047972,7754230,8268125,6930595,19879414,6654753,8342080,15015614,14352984,18856662,12536487
2019-01-16,4483889,15619386,1810616,18718120,1210250,11611547,5351805,14761130,4818630,10697977,18933537,14441454,19263392,15239744,4441646,11792550,19207610,8821791,17459211,3144594,15435341,15272080,13197959,11526170,10029889,6994362,1944401,3103080,1126469,12148998,17362830,1793399,1190310,4818630,10600578,10755562,6679993,14319565,12331833,10044288,7754689,8266579,6928682,19880744,6653043,8339266,15016468,14344764,18853353,12542464
2019-01-17,4483286,15618601,1814827,18706139,1209321,11614154,5353933,14755320,4819017,10687914,18937494,14437458,19262396,15233034,4447108,11788024,19216866,8821733,17454838,3144398,15439632,15274332,13188756,11519987,10034795,6994408,1945550,3103208,1125311,12141241,17356645,1792582,1188145,4819017,10599288,10760020,6678764,14326078,12330528,10049115,7754284,8265066,6929503,19884039,6651735,8342942,15013876,14341874,18850873,12549070
2019-01-18,4487893,15615964,1811873,18697272,1208946,11611818,5352569,14767842,4821483,10691285,18937527,14438259,19255576,15245510,4446809,11795003,19214127,8819173,17454120,3141515,15451824,15274940,13195025,11530763,10031975,6999899,1948361,3102008,1124590,12133831,17362213,1793558,1190883,4821483,10612375,10757098,6682700,14312142,12329689,10047608,7751981,8269367,6928893,19879660,6650941,8342820,15014266,14348595,18844664,12542479
2019-01-21,4484451,15619429,1813019,18701903,1208625,11614630,5354248,14756871,4821739,10694881,18928245,14435717,19255872,15239125,4446188,11789493,19214056,8813931,17457670,3143760,15449767,15271253,13198689,11528097,10037587,6995006,1946764,3105212,1125063,12137446,17365375,1792947,1190223,4821739,10611130,10757280,6678223,14321270,12326648,10051207,7749363,8268829,6930310,19882810,6646273,8339141,15011974,14343284,18851388,12545961
2019-01-22,4484390,15620068,1813310,18707570,1208367,11611998,5352967,14765948,4817880,10701809,18928894,14441989,19260797,15236428,4446309,11792327,19216097,8821219,17460500,3142710,15439106,15281194,13192258,11532677,10034982,6994681,1944157,3103005,1124415,12137267,17363848,1794575,1189440,4817880,10604930,10757410,6679912,14326831,12332579,10050019,7754070,8264781,6927680,19878167,6653205,8346666,15015759,14342056,18859615,12544687
2019-01-23,4483137,15629711,1814417,18712929,1209120,11610713,5356543,14768466,4816179,10695721,18932472,14447052,19255169,15242558,4440396,11789602,19221604,8822804,17460264,3143111,15435132,15280362,13195834,11520829,10033335,6996274,1946052,3102733,1124975,12138741,17360372,1792716,1186688,4816179,10608201,10755520,6678597,14322042,12330593,10044235,7748870,8259096,6931712,19879037,6652083,8344168,15009413,14342514,18855105,12544380
2019-01-24,4485603,15618404,1814070,18707559,1207684,11619334,5354572,14769818,4817290,10694534,18927589,14435581,19262032,15242463,4447432,11791595,19219187,8818573,17455337,3142740,15445321,15273250,13195029,11526901,10037042,6997677,1944256,3105242,1125945,12133885,17361306,1794695,1188752,4817290,10607846,10752556,6680966,14316329,12333249,10048224,7751582,8263514,6932318,19881747,6646830,8346344,15010546,14344725,18846581,12548140
2019-01-25,4487316,15616264,1814388,18696912,1210502,11607610,5350663,14760326,4823513,10688679,18919369,14438670,19252265,15240395,4441765,11792485,19208314,8822954,17450624,3146358,15444690,15277498,13199293,11526454,10038843,6992169,1943945,3104256,1126175,12145101,17360685,1792777,1189933,4823513,10612120,10759976,6679512,14323652,12332770,10045782,7755153,8262977,6930483,19886407,6651873,8341161,15016165,14339082,18847036,12541469
2019-01-28,4485954,15618100,1815420,18712188,1208496,11618881,5353516,14764315,4818971,10691847,18927931,14436508,19251959,15236406,4443960,11786500,19214855,8815716,17457632,3142910,15440782,15269253,13194186,11522573,10034820,6995263,1943276,3105471,1124979,12135576,17357141,1797004,1188936,4818971,10608246,10757727,6672980,14312101,12338815,10046439,7756418,8262957,6932495,19882897,6652839,8340880,15014766,14346537,18843960,12541165
2019-01-29,4482509,15626232,1813887,18704022,1211117,11613504,5354462,14765515,4822266,10695184,18928136,14445006,19260804,15239598,4446418,11794979,19219002,8819817,17455907,3143570,15445384,15281093,13191741,11531116,10030899,6994865,1944963,3107032,1125339,12146145,17357425,1792988,1187113,4822266,10606217,10758032,6675838,14314205,12335358,10051739,7751732,8264545,6932035,19879328,6653700,8343411,15006683,14342224,18849451,12543519
2019-01-30,4481242,15623453,1814821,18707791,1209784,11613205,5355599,14760780,4814155,10693500,18927487,14440688,19258423,15232510,4442687,11799427,19221274,8822073,17455528,3144794,15441873,15272215,13199230,11525428,10033023,6993423,1945749,3106411,1123498,12140002,17366461,1793904,1189462,4814155,10609498,10760390,6680424,14313610,12338403,10051718,7756874,8259921,6930505,19880806,6653484,8339636,15017024,14344676,18848321,12546162
2019-01-31,4482692,15615245,1813969,18708120,1210170,11608607,5352767,14753590,4821605,10693923,18928334,14444701,19258733,15239365,4443775,11793341,19208093,8822699,17459224,3146405,15447955,15271945,13192261,11530266,10033962,6994048,1945398,3103499,1124766,12142168,17359285,1793260,1190906,4821605,10610639,10757705,6677824,14309988,12330004,10042575,7756556,8266780,6928529,19887678,6656557,8343657,15016753,14344991,18849901,12550498
2019-02-01,4487612,15620860,1810942,18711464,1209712,11612471,5353271,14766574,4822724,10694664,18929262,14444365,19259248,15236279,4442375,11798193,19209024,8824242,17462777,3142609,15448030,15280605,13195351,11533217,10036878,6993599,1946154,3104183,1125888,12136969,17364355,1793825,1187887,4822724,10605176,10756717,6678134,14312821,12326781,10052377,7752523,8260485,6935554,19883006,6651910,8346764,15009968,14341930,18856354,12542889
2019-02-04,4485352,15626908,1815098,18712052,1209361,11611228,5352005,14754584,4820562,10689991,18934504,14442358,19257333,15233280,4446553,11793149,19223458,8825112,17461490,3142978,15441452,15278811,13189765,11522266,10030978,6996855,1946638,3105691,1124565,12138945,17360788,1793849,1187664,4820562,10614602,10762320,6678659,14308598,12334753,10049075,7754810,8264528,6930272,19884135,6653022,8343029,15015040,14343139,18852306,12541863
2019-02-05,4485808,15628551,1814018,18708578,1210779,11614059,5354309,14760827,4816316,10696004,18936214,14438812,19259058,15236066,4440857,11792706,19218819,8822758,17451845,3143235,15444398,15275267,13194439,11527376,10032752,6998593,1944449,3107086,1126485,12136977,17369794,1792111,1189323,4816316,10604069,10756928,6680718,14311532,12334491,10055519,7754640,8267166,6929369,19879804,6650100,8341718,15009181,14346557,18844383,12542255
2019-02-06,4481756,15623562,1811530,18716230,1209995,11610232,5354251,14760147,4819575,10692337,18928969,14442602,19269102,15233832,4441653,11783553,19211131,8823296,17453014,3142876,15449609,15280182,13195228,11523508,10035838,6995162,1945874,3105419,1126835,12145014,17357166,1794940,1188735,4819575,10612272,10758729,6676718,14316820,12331869,10047168,7755378,8263018,6925425,19882253,6650211,8342106,15019535,14343099,18848907,12539059
2019-02-07,4485580,15625384,1813598,18718522,1208474,11614483,5353794,14761873,4824342,10703097,18933785,14442533,19259281,15239949,4445352,11789035,19212429,8823818,17453341,3142188,15439873,15283782,13191702,11522950,10036055,6995796,1947145,3106819,1124401,12138091,17352106,1792479,1189633,4824342,10607166,10756198,6678402,14308891,12329502,10044449,7753080,8266275,6926690,19881403,6652980,8342463,15017158,14344436,18850224,12548270
2019-02-08,4484222,15620952,1813070,18711767,1208587,11616928,5353495,14759804,4816325,10697346,18930698,14445611,19257370,15236918,4448515,11792141,19220905,8826292,17448553,3143102,15449618,15277424,13196348,11530936,10033355,6996749,1945386,3104681,1125586,12142305,17356438,1795715,1188277,4816325,10606626,10757135,6683007,14310817,12328680,10043890,7755242,8265174,6931748,19879764,6656400,8343359,15021423,14345342,18848708,12541528
2019-02-11,4482517,15630572,1814326,18716740,1208171,11613169,5354139,14760638,4821109,10689057,18931145,14442700,19262374,15236699,4444126,11787821,19216538,8820266,17454160,3142474,15441332,15275176,13196103,11526395,10031836,6998029,1947062,3103202,1124989,12138068,17356339,1792495,1189581,4821109,10611393,10757853,6676991,14310126,12334670,10047395,7755225,8268731,6931077,19882172,6648365,8342632,15014356,14342510,18838862,12543946
2019-02-12,4484743,15624592,1813813,18696770,1210169,11612484,5357102,14752962,4818129,10695750,18927634,14441726,19260702,15234452,4447071,11790932,19212318,8817787,17457704,3143854,15436144,15276805,13199372,11530382,10031895,6994345,1947448,3102766,1125522,12138059,17361447,1792481,1191366,4818129,10610391,10758146,6682674,14322390,12327494,10051165,7754579,8262409,6928707,19891286,6651701,8344887,15019156,14339917,18846860,12542606
2019-02-13,4485938,15614815,1813822,18707079,1209611,11612952,5354671,14752773,4820426,10690814,18933555,14439421,19251537,15245829,4444672,11796746,19219324,8821911,17456463,3140669,15440851,15270487,13192562,11530271,10037539,6994867,1945610,3102898,1125770,12136534,17364745,1794770,1189033,4820426,10605880,10753373,6676325,14311450,12328354,10050521,7752543,8266495,6933727,19877942,6650410,8344648,15019545,14341087,18856758,12550701
2019-02-14,4485810,15614712,1811816,18710133,1209868,11614688,5356395,14764163,4815427,10693056,18935097,14435390,19262046,15239761,4442341,11797445,19218737,8823708,17455321,3138913,15443734,15277800,13185581,11528717,10039137,6999133,1949355,3105225,1124902,12137615,17365417,1794015,1190204,4815427,10609845,10748538,6677997,14315351,12334770,10050356,7750240,8259818,6931228,19885692,6652066,8338307,15014994,14347577,18850905,12544259
2019-02-15,4484586,15617457,1816675,18712123,1209670,11615323,5353407,14765277,4819993,10695482,18930277,14437764,19255362,15236727,4444295,11791447,19217028,8815988,17450593,3142476,15434591,15278915,13191531,11534960,10035864,6993891,1947949,3105503,1125300,12136285,17360343,1793497,1189941,4819993,10613101,10758396,6674479,14315781,12335282,10047489,7753739,8265793,6929262,19882304,6651447,8346568,15021352,14339953,18855433,12539552
2019-02-18,4483883,15616194,1811847,18710310,1211051,11620380,5358796,14756358,4821153,10696266,18931837,14441000,19255436,15234078,4444556,11790578,19218397,8822316,17450058,3144529,15445846,15278845,13196209,11529117,10035212,6996997,1946625,3103211,1125197,12142421,17359260,1792546,1189759,4821153,10606979,10765173,6672882,14318218,12337709,10049341,7756601,8265102,6932364,19879565,6653172,8345717,15015226,14343983,18850155,12538485
2019-02-19,4481356,15622407,1814158,18702713,1209189,11618137,5355292,14754765,4817463,10693134,18936335,14437657,19254083,15237898,4443610,11792768,19218892,8822022,17454162,3144082,15439370,15277595,13200425,11525593,10033717,6994584,1944451,3101486,1126450,12139422,17365178,1793124,1189354,4817463,10611372,10756427,6680530,14316600,12331410,10046931,7755643,8266507,6928915,19879323,6655529,8338623,15017311,14345167,18858497,12543379
2019-02-20,4481340,15623905,1813173,18710662,1209724,11609730,5351980,14761587,4821034,10690244,18936111,14434220,19252061,15237445,4442504,11793081,19216254,8817626,17470282,3143859,15437842,15281367,13195653,11524102,10032711,6999003,1945952,3108458,1127327,12140296,17361248,1792444,1189062,4821034,10600639,10757178,6680701,14317126,12332595,10045627,7753163,8265776,6935289,19882582,6649394,8347619,15007825,14338322,18856977,12541445
2019-02-21,4485908,15615975,1815998,18708033,1210084,11612128,5353339,14761003,4820170,10695592,18936312,14446366,19255399,15244771,4444353,11791849,19212302,8824475,17451060,3144890,15438082,15279431,13194889,11526716,10034070,6994903,1945161,3104995,1124235,12137212,17358153,1794107,1188786,4820170,10608158,10751717,6675512,14318631,12332733,10046965,7752938,8261755,6926886,19878531,6651336,8337755,15021382,14346218,18848727,12546373
2019-02-22,4484388,15621586,1815067,18713771,1210511,11615394,5352528,14759034,4818570,10697780,18926639,14440051,19251554,15232585,4443932,11784966,19220477,8821746,17455488,3143635,15445355,15273595,13193096,11529433,10031341,6999087,1947827,3104093,1125714,12138771,17363572,1794068,1189937,4818570,10610363,10755298,6678631,14318729,12331986,10046990,7752391,8265998,6928494,19885255,6651937,8337476,15014854,14343599,18848449,12547586
2019-02-25,4487275,15620793,1813190,18698225,1208012,11609773,5352411,14764588,4818907,10689744,18934109,14442646,19260391,15235707,4444131,11793082,19218139,8819928,17450017,3141953,15441373,15277625,13197826,11527806,10037587,6998176,1945406,3103034,1125713,12133309,17365869,1791917,1189578,4818907,10607124,10758620,6681232,14311711,12338290,10045381,7750823,8263298,6931201,19873809,6653340,8344213,15007660,14355533,18851149,12542154
2019-02-26,4485211,15619338,1812696,18712647,1210512,11614775,5352056,14761727,4820032,10698426,18927729,14442057,19258023,15234973,4442158,11781829,19217114,8818547,17454977,3146641,15439916,15281208,13195122,11530026,10033629,6999466,1947798,3105051,1126698,12142833,17360221,1792362,1191687,4820032,10602325,10756500,6679350,14312238,12331195,10049795,7751010,8264740,6927497,19880041,6656626,8342982,15011795,14343855,18845908,12547157
2019-02-27,4483491,15617667,1813425,18712727,1209896,11611257,5355472,14757771,4816636,10692094,18932732,14436560,19249396,15239034,4444843,11789180,19213012,8821457,17459122,3143165,15437616,15274104,13195442,11528030,10031774,6996346,1942704,3107435,1125533,12144856,17372311,1795475,1189439,4816636,10603399,10760422,6683687,14316821,12331009,10050565,7755620,8264558,6924478,19888315,6650765,8337616,15014750,14347299,18844871,12544891
2019-02-28,4485718,15620338,1813011,18715958,1208831,11613268,5351151,14758639,4820811,10697000,18928372,14449376,19259849,15223911,4444662,11792345,19212843,8823954,17453298,3143790,15437318,15277716,13192741,11534988,10039066,6998123,1944658,3104651,1124941,12143788,17367169,1795688,1188134,4820811,10606790,10758429,6680345,14321613,12334661,10053820,7755533,8274908,6926695,19879265,6647872,8341616,15007159,14339994,18850521,12543449
2019-03-01,4483961,15625558,1815313,18709066,1208275,11611885,5352410,14756833,4813369,10687713,18924708,14444972,19255540,15231933,4442796,11794331,19222351,8823381,17457318,3145980,15447119,15274791,13187090,11527866,10033166,6997221,1945144,3101854,1126329,12140192,17358740,1792550,1186851,4813369,10613309,10755310,6680825,14315844,12332007,10047240,7751797,8264072,6933533,19877606,6653374,8340694,15014864,14343719,18846585,12550775
2019-03-04,4481744,15609832,1813988,18699304,1209693,11615176,5356831,14761208,4822059,10688815,18938635,14446399,19260234,15242501,4445009,11787043,19216723,8818572,17456285,3142541,15448229,15278504,13196952,11531456,10029462,6994615,1945202,3106997,1125523,12144787,17354835,1796809,1188041,4822059,10608291,10758780,6677279,14315121,12331150,10047641,7753670,8262805,6932128,19881704,6652014,8342751,15019511,14344837,18852150,12546940
2019-03-05,4481735,15619214,1811512,18709437,1208361,11613641,5352346,14762893,4820991,10694833,18928849,14444994,19253561,15235214,4442687,11794466,19223925,8824480,17461718,3144741,15446127,15271977,13200914,11525659,10030904,6998538,1946540,3102202,1126495,12132780,17370124,1794627,1188105,4820991,10608117,10760017,6677642,14318907,12331421,10045005,7750596,8260096,6926718,19885311,6652628,8339489,15010845,14337277,18853854,12543204
2019-03-06,4485828,15621148,1816554,18710445,1210402,11609062,5355511,14763522,4818982,10692680,18939231,14443885,19261333,15231859,4443192,11786250,19217322,8819781,17450665,3147009,15440728,15278133,13197839,11530959,10035491,6998495,1946874,3103525,1125494,12146333,17362227,1791494,1189008,4818982,10607760,10753754,6674484,14322382,12331362,10045452,7754338,8259183,6930340,19881200,6654354,8337688,15024596,14344947,18842372,12545016
2019-03-07,4485405,15618167,1814412,18712295,1208436,11606820,5354054,14757431,4820760,10692182,18930500,14441168,19259108,15234394,4443922,11789927,19222973,8822262,17468020,3143961,15443666,15278866,13195860,11522922,10037318,6999191,1946191,3105463,1122077,12147436,17366061,1794991,1187719,4820760,10608015,10753635,6681584,14316613,12322516,10050845,7753766,8263536,6928721,19879417,6651827,8340720,15014846,14336092,18849301,12543637
2019-03-08,4485675,15618329,1816252,18708065,1206773,11604582,5351450,14762865,4818579,10693954,18935152,14438813,19253720,15241198,4443135,11791531,19221289,8821167,17458453,3141541,15433897,15274320,13198621,11529749,10033754,6996579,1945702,3102222,1124248,12134689,17364530,1792941,1189768,4818579,10614661,10754966,6676295,14312208,12330228,10047824,7754014,8266624,6936310,19884211,6656724,8339646,15016637,14346701,18852749,12542677
2019-03-11,4486447,15623014,1812795,18714559,1210571,11618137,5353439,14764471,4819041,10688989,18925968,14440112,19253620,15244052,4446253,11792128,19222417,8825038,17449514,3145609,15439869,15280921,13193618,11528127,10035341,6994943,1945607,3103929,1124880,12139899,17361891,1794874,1188776,4819041,10613489,10758506,6677917,14316993,12331997,10051175,7758668,8263077,6930395,19877751,6655407,8344219,15015702,14345485,18841109,12537820
2019-03-12,4483658,15616831,1814802,18706937,1207444,11619785,5352360,14762423,4817877,10693495,18930440,14443262,19257017,15243397,4441027,11791549,19211730,8821317,17450841,3142902,15439972,15280270,13196533,11527089,10031664,7000919,1944150,3104333,1124828,12137058,17372089,1793592,1190639,4817877,10604211,10756963,6677972,14318082,12330607,10048346,7753124,8263397,6925029,19886224,6650950,8339762,15008169,14340841,18856963,12537265
2019-03-13,4482852,15627782,1814943,18715120,1209390,11615262,5354992,14764509,4818683,10695809,18929261,14443900,19258932,15235260,4444743,11788213,19223398,8825991,17452967,3144504,15437656,15274722,13201925,11529494,10036316,6996520,1946496,3105808,1126475,12139430,17363657,1797316,1190130,4818683,10611737,10757856,6677990,14313530,12336369,10048465,7750897,8260546,6926431,19878245,6651593,8347726,15019301,14346572,18846633,12539236
2019-03-14,4483125,15617952,1813181,18707870,1209757,11611891,5352130,14764314,4817657,10701747,18934805,14442360,19257364,15238789,4442369,11793609,19219344,8816596,17454898,3140177,15445371,15278412,13196457,11528577,10036386,6997403,1945785,3105573,1126029,12141809,17361689,1792523,1188174,4817657,10613267,10757624,6683732,14320446,12329816,10046822,7755306,8264013,6932288,19875283,6649528,8335112,15017439,14345966,18847734,12542135
2019-03-15,4480228,15621708,1814494,18704346,1209014,11619063,5351889,14765879,4819420,10698228,18932418,14448056,19258910,15232211,4443877,11788280,19209300,8822184,17464881,3140064,15443048,15269771,13196941,11526786,10035727,6998409,1948364,3102099,1125636,12135585,17359257,1793960,1188894,4819420,10607260,10760864,6684767,14317732,12336024,10049796,7754518,8268035,6930510,19890400,6655073,8343972,15014158,14345101,18852743,12545981
2019-03-18,4486729,15618697,1812020,18706566,1208620,11617466,5355343,14753856,4816079,10697365,18932749,14440848,19259923,15235498,4445736,11789425,19213995,8820625,17452069,3142922,15438554,15279727,13198870,11536098,10035016,6990099,1948357,3104128,1126697,12137824,17355510,1794536,1188561,4816079,10607133,10756651,6676756,14317535,12331100,10059868,7756615,8263786,6927308,19878023,6652869,8342130,15019622,14344247,18847364,12543693
2019-03-19,4482853,15622400,1813001,18713563,1207788,11617657,5353648,14764430,4818876,10694724,18931656,14442441,19262550,15237547,4446983,11790119,19215125,8820575,17450093,3145353,15444595,15282773,13199538,11528120,10032710,6996594,1948644,3101891,1126339,12140519,17368203,1795238,1188365,4818876,10603121,10763727,6678959,14316316,12329814,10051699,7751771,8261516,6931322,19891954,6649706,8338654,15020149,14340616,18849660,12537707
2019-03-20,4488377,15614634,1815375,18712063,1209765,11613710,5355918,14761617,4821803,10703028,18926841,14445654,19256081,15237176,4444617,11791175,19210816,8820670,17452388,3144163,15448597,15281563,13192610,11522804,10031398,6997582,1945544,3103901,1124382,12135631,17358554,1791755,1189442,4821803,10607889,10755919,6679422,14315712,12331626,10049009,7753882,8268503,6927435,19879915,6655902,8341042,15015321,14345953,18846378,12544843
2019-03-21,4485295,15616516,1816071,18706428,1208647,11610927,5357346,14757034,4816036,10690722,18930318,14442216,19256503,15237975,4444404,11794459,19217656,8819203,17455763,3143584,15439980,15272669,13193499,11524940,10031595,6999505,1948672,3099985,1125079,12133835,17367210,1792819,1187581,4816036,10614169,10758949,6681120,14323913,12334013,10051609,7751341,8265064,6934158,19873715,6651905,8349104,15017990,14339573,18853472,12541264
2019-03-22,4480925,15624266,1814059,18710485,1211133,11613549,5354512,14766436,4817464,10694949,18929786,14438055,19253322,15241730,4442987,11789016,19217669,8824257,17450567,3146278,15438677,15277534,13193740,11528252,10039267,6999294,1944916,3103048,1127728,12137155,17361325,1793814,1189280,4817464,10605973,10760791,6679549,14313589,12333703,10048717,7751580,8261658,6929497,19887019,6652586,8338449,15012998,14345601,18851008,12544599
2019-03-25,4482115,15618675,1812292,18713164,1208237,11616025,5351509,14762690,4822803,10689060,18928747,14438059,19253304,15237933,4445198,11795219,19209430,8819391,17459152,3145017,15439864,15281625,13196052,11527689,10031758,6995885,1947162,3101116,1123766,12140213,17360091,1791479,1188287,4822803,10611520,10755283,6680201,14322538,12330923,10052354,7751162,8266093,6933263,19877727,6647444,8344240,15013179,14347115,18847626,12549245
2019-03-26,4482525,15622462,1814419,18720805,1211140,11612966,5352418,14762821,4822382,10693634,18929984,14439335,19254868,15240755,4442647,11793209,19226238,8823303,17458754,3147142,15444188,15269988,13193484,11529339,10034217,7000942,1946972,3105625,1126119,12146191,17367675,1793251,1189292,4822382,10606506,10762929,6680936,14321541,12328574,10045634,7750631,8262797,6927945,19882235,6654618,8338849,15016393,14333925,18845272,12542195
2019-03-27,4481881,15618075,1816388,18714158,1208036,11615361,5351068,14761749,4822347,10696551,18932448,14444879,19259640,15237052,4447525,11793896,19224006,8818654,17450819,3143044,15442182,15278431,13190925,11529000,10031880,6994027,1947469,3103455,1125033,12138354,17365327,1795532,1187030,4822347,10616482,10754621,6682841,14314277,12328153,10050038,7750927,8262289,6927796,19879765,6653765,8332910,15017202,14342603,18849538,12543360
2019-03-28,4482450,15623295,1814497,18702228,1210513,11615348,5356646,14767178,4821834,10701169,18922482,14437916,19260899,15240237,4443937,11786934,19217902,8820783,17457624,3143951,15438848,15278661,13194510,11528875,10032156,6995949,1944980,3105927,1125144,12137260,17357809,1793897,1187468,4821834,10606288,10758072,6678902,14315815,12336326,10050435,7751913,8269222,6928726,19883342,6651944,8344686,15012959,14341959,18847173,12543489
2019-03-29,4479251,15620327,1812841,18711237,1208568,11615843,5351523,14759333,4816025,10696711,18931687,14433171,19254809,15240684,4445540,11799936,19221280,8816997,17451241,3145480,15440789,15274948,13193386,11530713,10037819,6995799,1946346,3104143,1125993,12139130,17362497,1793174,1188955,4816025,10605032,10759339,6675716,14316670,12330527,10046413,7752042,8259060,6930761,19879569,6656044,8339994,15013302,14336193,18851297,12544294
2019-04-01,4483676,15616593,1815057,18705056,1208927,11617975,5354887,14760853,4819309,10693945,18927452,14446726,19255897,15233339,4445070,11793761,19215368,8825886,17448766,3146194,15440570,15276741,13194147,11526400,10040435,6992254,1948168,3106108,1124447,12138769,17355040,1791451,1189005,4819309,10607430,10757657,6677658,14315533,12335157,10052814,7755901,8271519,6932053,19880189,6654330,8342381,15015708,14346575,18845948,12534247
